Wall time,Step,Value
1608024477.44526,0,3.450000047683716
1608025665.5027232,1,2.9670000076293945
1608026852.6134334,2,1.6067500114440918
1608028049.2367218,3,1.809249997138977
1608029244.9920335,4,2.3505001068115234
1608030437.2245295,5,4.224124908447266
1608031628.2685077,6,6.010125160217285
1608032822.92767,7,5.414000034332275
1608034017.948528,8,8.65987491607666
1608035215.8234534,9,12.95199966430664
1608036410.842697,10,16.570999145507812
1608037621.956205,11,18.717500686645508
1608038842.2577848,12,17.495250701904297
1608040061.894527,13,19.790374755859375
1608041275.0869699,14,19.547250747680664
1608042492.177297,15,24.530500411987305
1608043713.3694694,16,22.345375061035156
1608044933.974847,17,22.748249053955078
1608046152.5025508,18,19.584999084472656
1608047377.4534523,19,25.085124969482422
1608048589.6925745,20,30.88574981689453
1608049813.3817549,21,28.286874771118164
1608051033.3626235,22,22.766000747680664
1608052254.6113534,23,28.384374618530273
1608053470.5371494,24,28.05500030517578
1608054684.8553305,25,31.265750885009766
1608055902.5005796,26,30.08187484741211
1608057131.267995,27,29.359249114990234
1608058344.2594297,28,29.24275016784668
1608059557.3449764,29,28.817750930786133
1608060768.653061,30,25.996999740600586
1608061979.7083752,31,30.661624908447266
1608063196.1703446,32,30.06024932861328
1608064419.1951034,33,29.76937484741211
1608065636.5762117,34,26.812000274658203
1608066862.015873,35,31.75
1608068087.383074,36,31.296875
1608069308.1408858,37,29.706375122070312
1608070526.5315943,38,30.983999252319336
1608071747.0458367,39,30.682374954223633
1608072963.7107768,40,28.474624633789062
