Wall time,Step,Value
1601223623.2789018,0,-6.112195014953613
1601224540.364905,1,-5.502563953399658
1601225458.4632738,2,-8.262499809265137
1601226371.1003158,3,-4.7071428298950195
1601227282.7546961,4,-7.3222222328186035
1601228198.6659,5,-6.667646884918213
1601229112.3592591,6,-7.011111259460449
1601230028.276012,7,-7.460464954376221
1601230948.5735004,8,-6.659523963928223
1601231862.2167504,9,-4.440384387969971
1601232772.2368586,10,-3.724138021469116
1601233683.4345694,11,-6.168749809265137
1601234593.0586398,12,-4.562068939208984
1601235508.906064,13,-4.1617021560668945
1601236423.2766428,14,-5.317857265472412
1601237335.7452552,15,-4.034883499145508
1601238248.4276593,16,-3.553488254547119
1601239157.821712,17,-5.989743709564209
1601240070.5008712,18,-3.1848485469818115
1601240980.839326,19,-5.794594764709473
1601241888.453537,20,-1.7333333492279053
1601242799.5532014,21,-3.609302282333374
1601243709.5993426,22,-2.0999999046325684
1601244609.1522226,23,-8.43684196472168
1601245520.8538582,24,-0.11403508484363556
1601246422.1718814,25,-1.164285659790039
1601247321.3442998,26,-2.0595743656158447
1601248223.4091394,27,0.9052631855010986
1601249127.426311,28,-1.7307692766189575
1601250030.3776326,29,-3.1702702045440674
1601250925.9416618,30,-0.8824999928474426
1601251828.0435815,31,-0.9878048896789551
1601252731.1616013,32,1.5590908527374268
1601253626.2659411,33,-1.6549999713897705
1601254515.571543,34,-0.7333333492279053
1601255412.8814595,35,0.8808510899543762
1601256304.4233556,36,2.954545497894287
1601257195.7726557,37,0.3424242436885834
1601258086.6412368,38,-2.72702693939209
1601258977.901697,39,-0.30000001192092896
1601259862.9841666,40,4.297435760498047
1601260749.8697488,41,2.8959999084472656
1601261635.2542753,42,5.431818008422852
1601262524.5551553,43,2.713043451309204
1601263408.5546296,44,-1.591428518295288
1601264289.985176,45,-3.668750047683716
1601265180.32184,46,1.743749976158142
1601266056.5068202,47,2.909090995788574
1601266936.0165842,48,4.694230556488037
1601267808.0599992,49,1.9711538553237915
1601268678.9362645,50,2.5830187797546387
1601269549.4981017,51,-2.0821428298950195
1601270407.787888,52,1.3156249523162842
1601271278.721206,53,2.5466666221618652
1601272158.11559,54,0.06756756454706192
1601273026.4657059,55,-5.150000095367432
1601273895.561352,56,5.616279125213623
1601274767.5897615,57,1.100000023841858
1601275646.5071783,58,5.409999847412109
1601276518.301089,59,9.683333396911621
1601277374.7872071,60,6.723809719085693
1601278234.2074716,61,5.446666717529297
1601279085.615733,62,7.079999923706055
1601279947.4804916,63,4.025531768798828
1601280806.409401,64,6.333333492279053
1601281660.493085,65,-1.6281249523162842
1601282525.6044512,66,6.082608699798584
1601283395.6934235,67,7.560784339904785
1601284244.3981133,68,-4.699999809265137
1601285103.5358098,69,7.08297872543335
1601285954.6448622,70,2.909090995788574
1601286812.7831948,71,1.4414634704589844
1601287663.7224538,72,4.785294055938721
1601288530.1429985,73,4.522857189178467
1601289390.5879745,74,2.296875
1601290248.234683,75,7.925000190734863
1601291105.1648357,76,3.2088890075683594
1601291966.5670676,77,7.407142639160156
1601292866.9122221,78,2.890000104904175
1601293786.2125223,79,8.288636207580566
1601294713.7926233,80,9.600000381469727
1601295632.1342056,81,9.311538696289062
1601296558.0140877,82,8.610869407653809
1601297484.5824938,83,5.909999847412109
1601298404.5548463,84,6.05294132232666
1601299324.2019317,85,4.530303001403809
1601300245.792397,86,5.548275947570801
1601301159.1942105,87,8.903448104858398
1601302068.3890305,88,9.456097602844238
1601302975.4987586,89,9.967347145080566
1601303874.6480842,90,5.878125190734863
1601304773.2793634,91,-0.4243243336677551
1601305674.6491249,92,11.006382942199707
1601306563.6293828,93,8.56551742553711
1601307446.085515,94,7.269811153411865
1601308311.3491936,95,7.00454568862915
1601309186.5446386,96,12.21463394165039
1601324730.5669975,97,7.564864635467529
1601325648.5224621,98,6.270270347595215
1601326564.1750686,99,8.336111068725586
1601327479.982202,100,6.366666793823242
