Wall time,Step,Value
1610404126.9652767,0,0.07692307978868484
1610404726.215689,50,0.0
1610405359.0261433,100,0.0
1610405986.7607193,150,0.0
1610406620.5590827,200,0.0
1610407253.4515147,250,0.0
1610407880.536714,300,0.0
1610408508.048037,350,0.0
1610409132.8152816,400,0.0
1610409759.6737044,450,0.0
1610410385.1407368,500,0.6000000238418579
1610411011.278416,550,0.6000000238418579
1610411637.4756439,600,0.0
1610412263.5090475,650,0.0
1610412888.5405226,700,0.0
1610413512.4526525,750,0.6000000238418579
1610414135.8323379,800,0.0
1610414759.0094054,850,1.2000000476837158
1610415381.6305552,900,1.2000000476837158
1610416003.9760232,950,0.6000000238418579
1610416625.1955054,1000,1.2000000476837158
1610417246.9256923,1050,0.6000000238418579
1610417868.0120409,1100,0.6000000238418579
1610418491.0614374,1150,0.6000000238418579
1610419113.8618824,1200,0.6000000238418579
1610419733.9334915,1250,0.6000000238418579
1610420355.0885134,1300,1.2000000476837158
1610420973.884788,1350,1.2000000476837158
1610421594.2831924,1400,0.0
1610422213.0445826,1450,0.6000000238418579
1610422832.9821465,1500,1.2000000476837158
1610423453.2410645,1550,0.6000000238418579
1610424072.1808364,1600,0.6000000238418579
1610424691.591524,1650,1.2000000476837158
1610425311.742082,1700,0.6000000238418579
1610425929.9577425,1750,1.2000000476837158
1610426548.9639153,1800,1.2000000476837158
1610427166.3015487,1850,1.2000000476837158
1610427784.7039697,1900,1.600000023841858
1610428399.720034,1950,1.7999999523162842
1610429006.8390982,2000,1.2000000476837158
